	1	2	
001	1.34128	4.30201	0
002	1.41045	3.85906	0
003	1.71022	3.34899	0
004	2.04842	3.22819	0
005	2.18678	3.77852	0
006	1.91776	4.22148	0
007	1.80246	5.1745	0
008	2.14835	5.05369	0
009	2.33282	4.34228	0
010	2.69408	4.3557	0
011	2.49424	5.10738	0
012	2.32513	5.37584	0
013	2.25596	6.00671	0
014	2.42506	6.46309	0
015	2.65565	6.12752	0
016	2.78632	5.51007	0
017	3.01691	5.14765	0
018	3.1937	5.37584	0
019	3.27825	5.87248	0
020	3.17832	6.31544	0
021	2.97848	6.71812	0
022	2.93236	7.09396	0
023	3.0784	7.28188	0
024	3.23213	7.14765	0
025	3.40892	6.8255	0
026	3.70869	6.46309	0
027	3.83935	6.71812	0
028	3.8701	8.07383	0
029	4.07763	8.00671	0
030	4.25442	7.38926	0
031	4.23905	6.94631	0
032	3.95465	7.48322	0
033	3.77018	7.42953	0
034	3.53958	7.33557	0
035	3.66257	6.91946	0
036	2.49424	5.60403	0
037	2.65565	4.95973	0
038	2.90161	5.95302	0
039	1.67179	4.51678	0
040	2.1176	4.57047	0
041	2.64028	6.58389	0
042	3.40123	6.31544	0
043	3.28593	7.45638	0
044	3.63182	7.97987	0
045	3.8701	6.94631	0
046	3.97002	6.59732	0
047	4.31591	6.22148	0
048	4.57725	6.66443	0
049	4.38509	6.79866	0
050	4.2083	6.59732	0
051	4.47733	7.28188	0
052	4.89239	7.12081	0
053	4.39277	7.95302	0
054	4.66949	7.88591	0
055	4.51576	7.57718	0
056	4.89239	6.62416	0
057	4.59262	6.16779	0
058	4.77709	6.3557	0
059	5.12298	6.0604	0
060	5.22291	6.39597	0
061	5.13067	6.95973	0
062	5.35357	6.8255	0
063	5.36126	7.5906	0
064	4.98463	7.84564	0
065	4.83859	7.6443	0
066	4.72329	7.34899	0
067	5.17679	7.30872	0
068	4.96925	7.34899	0
069	5.55342	5.9396	0
070	5.97617	6.38255	0
071	5.69946	6.86577	0
072	5.58417	6.42282	0
073	5.46887	7.24161	0
074	5.93774	6.93289	0
075	3.79324	5.09396	1
076	3.51653	4.57047	1
077	3.39354	5.25503	1
078	3.63182	5.84564	1
079	4.16218	4.93289	1
080	4.40815	5.61745	1
081	4.09301	6.16779	1
082	4.00846	5.67114	1
083	4.18524	5.44295	1
084	4.86933	5.55034	1
085	4.63874	4.8255	1
086	4.63105	5.6443	1
087	4.47733	5.21477	1
088	4.25442	4.38255	1
089	3.8701	4.38255	1
090	3.61645	3.95302	1
091	3.16295	4.47651	1
092	3.0246	3.99329	1
093	3.33205	4.08725	1
094	3.87779	3.9396	1
095	4.17756	3.85906	1
096	4.46195	3.88591	1
097	4.73866	4.43624	1
098	4.59262	4.61074	1
099	4.36203	4.2349	1
100	4.33897	4.81208	1
101	4.65411	5.21477	1
102	4.86933	4.93289	1
103	5.1153	5.14765	1
104	4.97694	5.48322	1
105	5.03075	4.7047	1
106	4.93082	4.42282	1
107	4.80015	3.84564	1
108	4.55419	4.28859	1
109	4.33897	3.48322	1
110	3.96234	4.74497	1
111	3.73174	4.8255	1
112	3.52421	4.77181	1
113	3.57033	5.21477	1
114	3.90085	5.88591	1
115	3.99308	5.1745	1
116	3.73943	5.36242	1
117	4.22367	5.80537	1
118	3.80861	5.45638	1
119	4.29285	5.1745	1
120	4.16218	4.36913	1
121	4.02383	4.20805	1
122	4.10069	4.65101	1
123	3.30899	4.87919	1
124	3.32437	4.46309	1
125	3.60108	4.27517	1
126	3.46272	4.03356	1
127	3.80092	3.71141	1
128	4.13144	3.72483	1
129	3.83167	3.30872	1
130	3.29362	3.25503	1
131	3.30131	3.71141	1
132	3.49347	3.72483	1
133	3.45503	3.42953	1
134	3.67025	3.51007	1
135	3.67794	3.71141	1
136	3.93159	3.55034	1
137	3.77786	4.10067	1
138	3.72406	4.54362	1
