XLabel,Wavenumber
YLabel,Response
FileType,Single Beam
DisplayDirection,20300
PeakDirection,20312
0.000000,-0.000009
1.928445,-0.000007
3.856891,0.000000
5.785336,0.000010
7.713782,0.000026
9.642227,0.000045
11.570673,0.000052
13.499118,0.000041
15.427564,0.000024
17.356009,0.000023
19.284455,0.000045
21.212900,0.000088
23.141346,0.000120
25.069791,0.000115
26.998236,0.000073
28.926682,0.000017
30.855127,-0.000002
32.783573,0.000090
34.712018,0.000223
36.640464,0.000266
38.568909,0.000237
40.497355,0.000183
42.425800,0.000054
44.354246,-0.000121
46.282691,-0.000180
48.211136,-0.000087
50.139582,0.000122
52.068027,0.000328
53.996473,0.000347
55.924918,0.000142
57.853364,-0.000047
59.781809,-0.000014
61.710255,0.000229
63.638700,0.000476
65.567146,0.000572
67.495591,0.000527
69.424037,0.000460
71.352482,0.000322
73.280927,0.000057
75.209373,-0.000170
77.137818,-0.000201
79.066264,-0.000136
80.994709,-0.000070
82.923155,-0.000049
84.851600,-0.000059
86.780046,-0.000056
88.708491,-0.000036
90.636937,-0.000048
92.565382,-0.000081
94.493827,-0.000087
96.422273,-0.000005
98.350718,0.000070
100.279164,-0.000013
102.207609,-0.000120
104.136055,-0.000044
106.064500,0.000144
107.992946,0.000279
109.921391,0.000360
111.849837,0.000321
113.778282,0.000245
115.706728,0.000168
117.635173,0.000110
119.563618,0.000116
121.492064,0.000189
123.420509,0.000260
125.348955,0.000251
127.277400,0.000132
129.205846,-0.000043
131.134291,-0.000138
133.062737,-0.000045
134.991182,0.000138
136.919628,0.000209
138.848073,0.000164
140.776518,0.000150
142.704964,0.000152
144.633409,0.000093
146.561855,-0.000033
148.490300,-0.000174
150.418746,-0.000259
152.347191,-0.000200
154.275637,0.000018
156.204082,0.000329
158.132528,0.000549
160.060973,0.000542
161.989419,0.000358
163.917864,0.000207
165.846309,0.000154
167.774755,0.000056
169.703200,-0.000094
171.631646,-0.000113
173.560091,0.000047
175.488537,0.000153
177.416982,0.000068
179.345428,-0.000051
181.273873,0.000002
183.202319,0.000158
185.130764,0.000234
187.059209,0.000238
188.987655,0.000152
190.916100,-0.000012
192.844546,-0.000060
194.772991,0.000012
196.701437,-0.000045
198.629882,-0.000109
200.558328,-0.000014
202.486773,0.000059
204.415219,0.000020
206.343664,0.000025
208.272110,0.000180
210.200555,0.000341
212.129000,0.000376
214.057446,0.000328
215.985891,0.000318
217.914337,0.000389
219.842782,0.000417
221.771228,0.000283
223.699673,0.000077
225.628119,-0.000039
227.556564,-0.000053
229.485010,-0.000039
231.413455,-0.000003
233.341900,0.000104
235.270346,0.000293
237.198791,0.000452
239.127237,0.000437
241.055682,0.000310
242.984128,0.000256
244.912573,0.000276
246.841019,0.000252
248.769464,0.000165
250.697910,0.000074
252.626355,0.000042
254.554801,0.000072
256.483246,0.000050
258.411691,-0.000103
260.340137,-0.000231
262.268582,-0.000164
264.197028,0.000025
266.125473,0.000179
268.053919,0.000258
269.982364,0.000259
271.910810,0.000118
273.839255,-0.000070
275.767701,-0.000133
277.696146,-0.000095
279.624591,-0.000071
281.553037,-0.000068
283.481482,-0.000046
285.409928,0.000054
